date,no_of_addresses
2021-12-31,74377
2021-12-30,79145
2021-12-29,70444
2021-12-28,80728
2021-12-27,78986
2021-12-26,71253
2021-12-25,62635
2021-12-24,84411
2021-12-23,83354
2021-12-22,115309
2021-12-21,77269
2021-12-20,98372
2021-12-19,77277
2021-12-18,69002
2021-12-17,78517
2021-12-16,94115
2021-12-15,71719
2021-12-14,74356
2021-12-13,95736
2021-12-12,82899
2021-12-11,86376
2021-12-10,101222
2021-12-09,98968
2021-12-08,97972
2021-12-07,79769
2021-12-06,93956
2021-12-05,235903
2021-12-04,70733
2021-12-03,82272
2021-12-02,84226
2021-12-01,81009
2021-11-30,93460
2021-11-29,95926
2021-11-28,68704
2021-11-27,71181
2021-11-26,89062
2021-11-25,82174
2021-11-24,89470
2021-11-23,78333
2021-11-22,75283
2021-11-21,90929
2021-11-20,76193
2021-11-19,117683
2021-11-18,85839
2021-11-17,178277
2021-11-16,86386
2021-11-15,100823
2021-11-14,138218
2021-11-13,139087
2021-11-12,138423
2021-11-11,134806
2021-11-10,122854
2021-11-09,66739
2021-11-08,77543
2021-11-07,76582
2021-11-06,73386
2021-11-05,77453
2021-11-04,77758
2021-11-03,82599
2021-11-02,87839
2021-11-01,78045
2021-10-31,73957
2021-10-30,85032
2021-10-29,107209
2021-10-28,133493
2021-10-27,96099
2021-10-26,96773
2021-10-25,92882
2021-10-24,88373
2021-10-23,102129
2021-10-22,83207
2021-10-21,90857
2021-10-20,88746
2021-10-19,77558
2021-10-18,73921
2021-10-17,75132
2021-10-16,75297
2021-10-15,75884
2021-10-14,77397
2021-10-13,70047
2021-10-12,76796
2021-10-11,69232
2021-10-10,68189
2021-10-09,77547
2021-10-08,113960
2021-10-07,97488
2021-10-06,97364
2021-10-05,80108
2021-10-04,60472
2021-10-03,67373
2021-10-02,68109
2021-10-01,64599
2021-09-30,57092
2021-09-29,57450
2021-09-28,55486
2021-09-27,59291
2021-09-26,59575
2021-09-25,60375
2021-09-24,61290
2021-09-23,73747
2021-09-22,62095
2021-09-21,63187
2021-09-20,60202
2021-09-19,61842
2021-09-18,64480
2021-09-17,67497
2021-09-16,74096
2021-09-15,84994
2021-09-14,80939
2021-09-13,134342
2021-09-12,80270
2021-09-11,108576
2021-09-10,85703
2021-09-09,64951
2021-09-08,61351
2021-09-07,75406
2021-09-06,72630
2021-09-05,61051
2021-09-04,65636
2021-09-03,68943
2021-09-02,77125
2021-09-01,70683
2021-08-31,71519
2021-08-30,61510
2021-08-29,60192
2021-08-28,61412
2021-08-27,58659
2021-08-26,59426
2021-08-25,61433
2021-08-24,69398
2021-08-23,76034
2021-08-22,77864
2021-08-21,86696
2021-08-20,81459
2021-08-19,88385
2021-08-18,73256
2021-08-17,75846
2021-08-16,79881
2021-08-15,66866
2021-08-14,62650
2021-08-13,70085
2021-08-12,73186
2021-08-11,81773
2021-08-10,81699
2021-08-09,86091
2021-08-08,92872
2021-08-07,91349
2021-08-06,94939
2021-08-05,86858
2021-08-04,99714
2021-08-03,102194
2021-08-02,115963
2021-08-01,96708
2021-07-31,69672
2021-07-30,71662
2021-07-29,74491
2021-07-28,71123
2021-07-27,66236
2021-07-26,71457
2021-07-25,68358
2021-07-24,89864
2021-07-23,78667
2021-07-22,71708
2021-07-21,75968
2021-07-20,69865
2021-07-19,62438
2021-07-18,61851
2021-07-17,63460
2021-07-16,65977
2021-07-15,73650
2021-07-14,71369
2021-07-13,68386
2021-07-12,72351
2021-07-11,67984
2021-07-10,69250
2021-07-09,83525
2021-07-08,70465
2021-07-07,77684
2021-07-06,75335
2021-07-05,89331
2021-07-04,80153
2021-07-03,75984
2021-07-02,99601
2021-07-01,111813
2021-06-30,81999
2021-06-29,102200
2021-06-28,81893
2021-06-27,88267
2021-06-26,121484
2021-06-25,116657
2021-06-24,105711
2021-06-23,104154
2021-06-22,85828
2021-06-21,79161
2021-06-20,84972
2021-06-19,67808
2021-06-18,89158
2021-06-17,77728
2021-06-16,94452
2021-06-15,105408
2021-06-14,90365
2021-06-13,115901
2021-06-12,95727
2021-06-11,70734
2021-06-10,88010
2021-06-09,99984
2021-06-08,91893
2021-06-07,113457
2021-06-06,137654
2021-06-05,136196
2021-06-04,136080
2021-06-03,139271
2021-06-02,128665
2021-06-01,105314
2021-05-31,118129
2021-05-30,116675
2021-05-29,133618
2021-05-28,101628
2021-05-27,130699
2021-05-26,117462
2021-05-25,115392
2021-05-24,100733
2021-05-23,85307
2021-05-22,89691
2021-05-21,121639
2021-05-20,139440
2021-05-19,116661
2021-05-18,119457
2021-05-17,116621
2021-05-16,118155
2021-05-15,120370
2021-05-14,144024
2021-05-13,139269
2021-05-12,133634
2021-05-11,162654
2021-05-10,142500
2021-05-09,175852
2021-05-08,144705
2021-05-07,152496
2021-05-06,140424
2021-05-05,143922
2021-05-04,140124
2021-05-03,120020
2021-05-02,111777
2021-05-01,136700
2021-04-30,126666
2021-04-29,153559
2021-04-28,163237
2021-04-27,179416
2021-04-26,195275
2021-04-25,203124
2021-04-24,176790
2021-04-23,163229
2021-04-22,182302
2021-04-21,196783
2021-04-20,212010
2021-04-19,190365
2021-04-18,152402
2021-04-17,163940
2021-04-16,158727
2021-04-15,99251
2021-04-14,137607
2021-04-13,132828
2021-04-12,137337
2021-04-11,122261
2021-04-10,138511
2021-04-09,119432
2021-04-08,120753
2021-04-07,114201
2021-04-06,120663
2021-04-05,116847
2021-04-04,109938
2021-04-03,114813
2021-04-02,129813
2021-04-01,128766
2021-03-31,113538
2021-03-30,112196
2021-03-29,106718
2021-03-28,105314
2021-03-27,106937
2021-03-26,114450
2021-03-25,120306
2021-03-24,111362
2021-03-23,135170
2021-03-22,109264
2021-03-21,107317
2021-03-20,115097
2021-03-19,118151
2021-03-18,117679
2021-03-17,118316
2021-03-16,114718
2021-03-15,123684
2021-03-14,119445
2021-03-13,127842
2021-03-12,133871
2021-03-11,133264
2021-03-10,116513
2021-03-09,111690
2021-03-08,104006
2021-03-07,97320
2021-03-06,103577
2021-03-05,97427
2021-03-04,116176
2021-03-03,107828
2021-03-02,116381
2021-03-01,114152
2021-02-28,111519
2021-02-27,117837
2021-02-26,116997
2021-02-25,113060
2021-02-24,109412
2021-02-23,105947
2021-02-22,106763
2021-02-21,109217
2021-02-20,122447
2021-02-19,131837
2021-02-18,112629
2021-02-17,122882
2021-02-16,119288
2021-02-15,83586
2021-02-14,110599
2021-02-13,124819
2021-02-12,126552
2021-02-11,136621
2021-02-10,122838
2021-02-09,123815
2021-02-08,122284
2021-02-07,127832
2021-02-06,121311
2021-02-05,128019
2021-02-04,123722
2021-02-03,127868
2021-02-02,113716
2021-02-01,114342
2021-01-31,112732
2021-01-30,121692
2021-01-29,117882
2021-01-28,88314
2021-01-27,83709
2021-01-26,111111
2021-01-25,96980
2021-01-24,106204
2021-01-23,116103
2021-01-22,98935
2021-01-21,96911
2021-01-20,118196
2021-01-19,117146
2021-01-18,102023
2021-01-17,106225
2021-01-16,121929
2021-01-15,118159
2021-01-14,103456
2021-01-13,96566
2021-01-12,91097
2021-01-11,132128
2021-01-10,114882
2021-01-09,134372
2021-01-08,115430
2021-01-07,121691
2021-01-06,108429
2021-01-05,104452
2021-01-04,102573
2021-01-03,104381
