date,total_value
2015-08-07,2008722.6604319667
2015-08-08,13583219.939374862
2015-08-09,1165455.2745955461
2015-08-10,1670910.8985605079
2015-08-11,1485731.5336026081
2015-08-12,747487.69902297447
2015-08-13,1787853.85400364
2015-08-14,2295449.08010175
2015-08-15,4631281.5509520378
2015-08-16,1708588.8957319329
2015-08-17,2244762.5147695285
2015-08-18,1548718.9150212395
2015-08-19,1149584.6922990142
2015-08-20,417344.95610966784
2015-08-21,586849.29628785967
2015-08-22,494568.25509949785
2015-08-23,497834.96876770904
2015-08-24,462290.66327575862
2015-08-25,406455.260412514
2015-08-26,439388.49646296905
2015-08-27,272775.17991273641
2015-08-28,300452.12864465709
2015-08-29,430445.05578088237
2015-08-30,415917.09948980494
2015-08-31,384849.22336544882
2015-09-01,1419828.973981143
2015-09-02,277556.00871101965
2015-09-03,556785.65575865086
2015-09-04,176548.64558238641
2015-09-05,167475.88302068223
2015-09-06,296234.50591882924
2015-09-07,202522.3958733707
2015-09-08,263687.40370718681
2015-09-09,1145838.0424846045
2015-09-10,206003.57085140175
2015-09-11,726440.90995309118
2015-09-12,217734.24084580364
2015-09-13,224186.02975965457
2015-09-14,267426.36323547218
2015-09-15,603437.36254365591
2015-09-16,555273.84401340433
2015-09-17,295735.65626209276
2015-09-18,407806.41537773964
2015-09-19,390741.95006153948
2015-09-20,131571.48332399846
2015-09-21,157710.51778762482
2015-09-22,194639.09438652944
2015-09-23,131108.21744361808
2015-09-24,306723.1986219798
2015-09-25,662114.94525178778
2015-09-26,251343.50181912788
2015-09-27,382903.56811942771
2015-09-28,713758.82153077237
2015-09-29,404216.747342163
2015-09-30,509759.65957236482
2015-10-01,538525.92923500191
2015-10-02,148845.52255923222
2015-10-03,122973.55400221911
2015-10-04,277539.34082368226
2015-10-05,163919.72062144749
2015-10-06,506641.16352543037
2015-10-07,310195.80901814211
2015-10-08,313426.60844072659
2015-10-09,224250.05121724264
2015-10-10,128489.08082395389
2015-10-11,152908.9785042876
2015-10-12,270873.93409927806
2015-10-13,411204.33205685177
2015-10-14,992511.8460196302
2015-10-15,799840.40214334172
2015-10-16,360121.58298279956
2015-10-17,243852.97010094006
2015-10-18,182117.16694571023
2015-10-19,514721.461705207
2015-10-20,501598.45891814004
2015-10-21,697034.20311722159
2015-10-22,619255.616185133
2015-10-23,772942.27900491818
2015-10-24,99865.110626746507
2015-10-25,261820.4824742015
2015-10-26,715472.81539553218
2015-10-27,1893398.6047003812
2015-10-28,980149.13764957094
2015-10-29,517761.29516123066
2015-10-30,1209372.484197737
2015-10-31,276417.88619268022
2015-11-01,145524.37366324422
2015-11-02,351890.32523581217
2015-11-03,595172.01657530572
2015-11-04,805279.28097394085
2015-11-05,344177.23815761966
2015-11-06,938177.71252711513
2015-11-07,425968.41911173973
2015-11-08,896689.21529488708
2015-11-09,946972.71867526975
2015-11-10,891132.50097990164
2015-11-11,301403.98011445085
